material,site,direction,bond_length_A,fft_spacing_A,r_peak_A,h_peak,M
3AMP,4,1,3.1228375934959,0.115045308641975,0.89936204375948,0.476441715986796,0.428493595422158
3AMP,4,2,3.15161754936948,0.115045308641975,0.902092192134233,0.482134451701274,0.434929724438639
3AMP,4,3,3.15224936306247,0.115045308641975,0.900085073631492,0.471778653462953,0.424640924039968
3AMP,4,4,3.15418858822391,0.115045308641975,0.901753896687745,0.479243417516978,0.432159619207887
3AMP,4,5,3.16158655359897,0.115045308641975,0.898532219989495,0.473294517261352,0.425270373303699
3AMP,4,6,3.20789215327092,0.115045308641975,0.900777956088661,0.477511115305556,0.430131486454556
4AMPy,1,1,3.15030196751168,0.114263703703704,0.901106420713142,0.475294349522155,0.42829079008309
4AMPy,1,2,3.16049884191433,0.114263703703704,0.898194721995756,0.478196156876803,0.429513264185399
4AMPy,1,3,3.17027405337054,0.114263703703704,0.901212884337516,0.472295241293621,0.425638556665107
4AMPy,1,4,3.17835721454786,0.114263703703704,0.899272364375654,0.482419637383486,0.433826647931093
4AMPy,1,5,3.19503678305285,0.114263703703704,0.902705817030174,0.478190090171773,0.431664976044243
4AMPy,1,6,3.19645965476395,0.114263703703704,0.902974577817704,0.479877266206794,0.433316971857393
4AMPy,2,1,3.14531929760975,0.114263703703704,0.900657183726493,0.474986203158226,0.427799736045428
4AMPy,2,2,3.15891260816861,0.114263703703704,0.897755618764602,0.478594384402767,0.42966079770677
4AMPy,2,3,3.16377793633965,0.114263703703704,0.900425893265991,0.471071217049802,0.424164721403965
4AMPy,2,4,3.17533344326044,0.114263703703704,0.898908406743181,0.48181468001563,0.433107266358326
4AMPy,2,5,3.19476997165474,0.114263703703704,0.903078486177259,0.478770715712704,0.432367533171832
4AMPy,2,6,3.20556022062353,0.114263703703704,0.903528735020204,0.481045354194459,0.434638300362665
4AMPy,3,1,3.01274594139873,0.114263703703704,0.891021805391187,0.457797330196403,0.407907403654864
