candidate_key,required_modules,object_type,local_expression,local_operation,source_primitives,within_reducer,across_reducer,unit,outer_transform,numeric_family_id,is_family_representative,feature_id,grid_dependent,max_grid_spread_pct_of_full_range,grid_stable
sn_i_bond|sq(d)|within=max|across=site_cv,A,sn_i_bond,sq(d),sq,d,max,site_cv,1,identity,c90655fd5f55,True,f001767,True,0,True
sn_i_bond|sq(d)|within=top2_deviation|across=site_cv,A,sn_i_bond,sq(d),sq,d,top2_deviation,site_cv,1,identity,02f7023e90bf,True,f001772,True,0,True
sn_i_bond|sqrt(d)|within=mean|across=site_cv,A,sn_i_bond,sqrt(d),sqrt,d,mean,site_cv,1,identity,aed8b3875952,True,f001777,True,0,True
sn_i_bond|sqrt(d)|within=sd|across=site_cv,A,sn_i_bond,sqrt(d),sqrt,d,sd,site_cv,1,identity,fb35b2f5ec7b,True,f001782,True,0,True
sn_i_bond|sqrt(d)|within=cv|across=mean,A,sn_i_bond,sqrt(d),sqrt,d,cv,mean,1,identity,d14d2197b02d,True,f001783,True,0,True
sn_i_bond|sqrt(d)|within=cv|across=median,A,sn_i_bond,sqrt(d),sqrt,d,cv,median,1,identity,7356a9ac6b94,True,f001784,True,0,True
sn_i_bond|sqrt(d)|within=cv|across=max,A,sn_i_bond,sqrt(d),sqrt,d,cv,max,1,identity,f38eb61f721b,True,f001785,True,0,True
sn_i_bond|sqrt(d)|within=cv|across=range,A,sn_i_bond,sqrt(d),sqrt,d,cv,range,1,identity,cf8a53151af4,True,f001786,True,0,True
sn_i_bond|sqrt(d)|within=cv|across=site_cv,A,sn_i_bond,sqrt(d),sqrt,d,cv,site_cv,1,identity,e80604a5007e,True,f001787,True,0,True
sn_i_bond|sqrt(d)|within=normalized_range|across=mean,A,sn_i_bond,sqrt(d),sqrt,d,normalized_range,mean,1,identity,07865663c140,True,f001788,True,0,True
sn_i_bond|sqrt(d)|within=normalized_range|across=median,A,sn_i_bond,sqrt(d),sqrt,d,normalized_range,median,1,identity,ac5db13a388a,True,f001789,True,0,True
sn_i_bond|sqrt(d)|within=normalized_range|across=max,A,sn_i_bond,sqrt(d),sqrt,d,normalized_range,max,1,identity,98a913250598,True,f001790,True,0,True
sn_i_bond|sqrt(d)|within=normalized_range|across=range,A,sn_i_bond,sqrt(d),sqrt,d,normalized_range,range,1,identity,09c39012ef03,True,f001791,True,0,True
sn_i_bond|sqrt(d)|within=normalized_range|across=site_cv,A,sn_i_bond,sqrt(d),sqrt,d,normalized_range,site_cv,1,identity,2e9fd43b6af9,True,f001792,True,0,True
sn_i_bond|sqrt(d)|within=mad|across=site_cv,A,sn_i_bond,sqrt(d),sqrt,d,mad,site_cv,1,identity,60438e41c266,True,f001797,True,0,True
sn_i_bond|sqrt(d)|within=iqr|across=site_cv,A,sn_i_bond,sqrt(d),sqrt,d,iqr,site_cv,1,identity,2b4ea3a11b8a,True,f001802,True,0,True
sn_i_bond|sqrt(d)|within=min|across=site_cv,A,sn_i_bond,sqrt(d),sqrt,d,min,site_cv,1,identity,038c04bd1fc0,True,f001807,True,0,True
sn_i_bond|sqrt(d)|within=max|across=site_cv,A,sn_i_bond,sqrt(d),sqrt,d,max,site_cv,1,identity,8e2eef2cd61f,True,f001812,True,0,True
sn_i_bond|sqrt(d)|within=top2_deviation|across=site_cv,A,sn_i_bond,sqrt(d),sqrt,d,top2_deviation,site_cv,1,identity,df26d1877d25,True,f001817,True,0,True
sn_i_bond|h|within=sd|across=mean,A,sn_i_bond,h,identity,h,sd,mean,1,identity,5a753aced20e,True,f002003,True,0.851417322546128,True
sn_i_bond|h|within=sd|across=median,A,sn_i_bond,h,identity,h,sd,median,1,identity,1c7cdc573fc7,True,f002004,True,0.851399360817692,True
sn_i_bond|h|within=sd|across=max,A,sn_i_bond,h,identity,h,sd,max,1,identity,b00e3686c1b5,True,f002005,True,1.67562447006002,True
sn_i_bond|h|within=sd|across=range,A,sn_i_bond,h,identity,h,sd,range,1,identity,abce28128628,True,f002006,True,4.63617203780265,True
sn_i_bond|h|within=sd|across=site_cv,A,sn_i_bond,h,identity,h,sd,site_cv,1,identity,f98b456fe871,True,f002007,True,2.05248863184622,True
sn_i_bond|h|within=cv|across=mean,A,sn_i_bond,h,identity,h,cv,mean,1,identity,97c1609e6d77,True,f002008,True,0.930726527073969,True
sn_i_bond|h|within=cv|across=median,A,sn_i_bond,h,identity,h,cv,median,1,identity,0a97b15169e5,True,f002009,True,0.930707925543674,True
sn_i_bond|h|within=cv|across=max,A,sn_i_bond,h,identity,h,cv,max,1,identity,913aa9895efd,True,f002010,True,1.83900482676103,True
